positive,negative,rating,comments
"Izuzetno komforan i vrlo, vrlo prostran smeštaj koji u potpunosti izgleda kao da je su domaćini pravili za sebe a ne za izdavanje. Sve je bilo besprekorno čisto i uredno, uživancija i udobnost su zagarantovani. Definitivno ćemo ponoviti ovaj mali odmor! Smeštaj je blizu predivnog ribljeg restorana ""Tresetište"" koji je za svaku preporuku.",,10,"Izuzetno komforan i vrlo, vrlo prostran smeštaj koji u potpunosti izgleda kao da je su domaćini pravili za sebe a ne za izdavanje. Sve je bilo besprekorno čisto i uredno, uživancija i udobnost su zagarantovani. Definitivno ćemo ponoviti ovaj mali odmor! Smeštaj je blizu predivnog ribljeg restorana ""Tresetište"" koji je za svaku preporuku. "
"Ljubazan domaćin.
Čisto i uredno.
Lepa i mirna lokacija.",,10,"Ljubazan domaćin.
Čisto i uredno.
Lepa i mirna lokacija. "
"Izuzetno ljubazni i predusretljivi domaćini.Vrlo lep, prijatan i čist objekat.",,10,"Izuzetno ljubazni i predusretljivi domaćini.Vrlo lep, prijatan i čist objekat. "
"Sjajni domaćini, čistoća na zavidnom nivou, toplo, komforno, udobno... Sigurno ćemo ponoviti boravak u ovom apartmanu...",Ne postoji bas ni jedna stvar koja nije bila u redu.... Sve nam se dopalo...,10,"Sjajni domaćini, čistoća na zavidnom nivou, toplo, komforno, udobno... Sigurno ćemo ponoviti boravak u ovom apartmanu... Ne postoji bas ni jedna stvar koja nije bila u redu.... Sve nam se dopalo..."
Sve ostalo,Jastuci,9,Sve ostalo Jastuci
Prezadovoljni smo smeštajem i  ljubaznošću domaćina. Naše iskrene preporuke.,,10,Prezadovoljni smo smeštajem i  ljubaznošću domaćina. Naše iskrene preporuke. 
Smestaj poseduje sve potrebno za boravak u njemu. Cisto i mirno. Domacini ljubazni.,,10,Smestaj poseduje sve potrebno za boravak u njemu. Cisto i mirno. Domacini ljubazni. 
"Gostoprimstvo domaćina, čistoća i urednost kao i dopunski sadržaji",,9,"Gostoprimstvo domaćina, čistoća i urednost kao i dopunski sadržaji "
"Tiha ulica, udobni kreveti, prostran apartman, ljubazni domaćini.",,9,"Tiha ulica, udobni kreveti, prostran apartman, ljubazni domaćini. "
"Izuzetno uredno, ima sve što vam je potrebno za boravak i više. Sve po dogovoru, jasna komunikacija, domaćin uvek na raspolaganju sa uvek svežim informacijama i preporukama.",,10,"Izuzetno uredno, ima sve što vam je potrebno za boravak i više. Sve po dogovoru, jasna komunikacija, domaćin uvek na raspolaganju sa uvek svežim informacijama i preporukama. "
"Podno grejanje radi odlično.
Krevet top.",,10,"Podno grejanje radi odlično.
Krevet top. "
Veoma ljubazno i profesionalno osoblje,,10,Veoma ljubazno i profesionalno osoblje 
"Sve je uredno, čisto i lepo. Nemam nikakvih zamerki, sve preporuke. 10/10",,10,"Sve je uredno, čisto i lepo. Nemam nikakvih zamerki, sve preporuke. 10/10 "
"Ima sve što je potrebno, odličan ambijent. Doručak je fenomenalan.",,10,"Ima sve što je potrebno, odličan ambijent. Doručak je fenomenalan. "
Exstra lokacija i osoblje,Malo tvrdi gušeci za moj ukus,9,Exstra lokacija i osoblje Malo tvrdi gušeci za moj ukus
ODLICAN,,8,ODLICAN 
Sve pohvale za angažovanje oko kućnog ljubimca,"Doručak jako oskusan, ili smo mi veliki gurmani pa nas nije baš oduševio",9,"Sve pohvale za angažovanje oko kućnog ljubimca Doručak jako oskusan, ili smo mi veliki gurmani pa nas nije baš oduševio"
Bilo je odlicno,Sve je bilo ok,10,Bilo je odlicno Sve je bilo ok
"Sve je odlicno
Lokacija je 500 metara od Galerije
Parking obezbedjen sa kamerama i fizicko obezbeduvanje bezbedno 100%",Sto nije nam receno da parkig je u zgradi BW VISTA a smestaj je u BW PARKVIEW,10,"Sve je odlicno
Lokacija je 500 metara od Galerije
Parking obezbedjen sa kamerama i fizicko obezbeduvanje bezbedno 100% Sto nije nam receno da parkig je u zgradi BW VISTA a smestaj je u BW PARKVIEW"
"Domaćini izuzetno darežljivi, lokacija, čistoća, terasa, sve je perfektno.",,10,"Domaćini izuzetno darežljivi, lokacija, čistoća, terasa, sve je perfektno. "
Sve je perfektno!,,10,Sve je perfektno! 
"Organizacija, lokacija, pogled, opremljenost, udobnost, terasa, kvalitet zgrade, kafa....",Krevet je razdrndan. Ali je odličan. 😴,10,"Organizacija, lokacija, pogled, opremljenost, udobnost, terasa, kvalitet zgrade, kafa.... Krevet je razdrndan. Ali je odličan. 😴"
Stan na izuzetnoj lokaciji sa parking mestom u garazi .Sve preporuke dolazim ponovo zasigurno.,,10,Stan na izuzetnoj lokaciji sa parking mestom u garazi .Sve preporuke dolazim ponovo zasigurno. 
"Lokacija je odlicna, stan je opremljen jako dobro i ima sve sto je neophodno za duzi boravak.",,10,"Lokacija je odlicna, stan je opremljen jako dobro i ima sve sto je neophodno za duzi boravak. "
"Odlicna lokacija, lak dogovor oko preuzimanja kljuceva. Apartman nov, cist. Odlican odnos cene u kvaliteta.",,10,"Odlicna lokacija, lak dogovor oko preuzimanja kljuceva. Apartman nov, cist. Odlican odnos cene u kvaliteta. "
Sve,/,10,Sve /
"Lak dogovor oko preuzimanja kljuceva, cisto, dobra lokacija i sve je kako i pise.","Sve je bilo extra, jedina mala zamerka je sto je klima curkala malo.",9,"Lak dogovor oko preuzimanja kljuceva, cisto, dobra lokacija i sve je kako i pise. Sve je bilo extra, jedina mala zamerka je sto je klima curkala malo."
Izuzetan,,10,Izuzetan 
"Odlična lokacija, čisto, sve je kao na slici i odlično obaveštenje o parkingu.",,10,"Odlična lokacija, čisto, sve je kao na slici i odlično obaveštenje o parkingu. "
Sve je top,,10,Sve je top 
Odlicno je sve. Vracamo se ponovo.,,10,Odlicno je sve. Vracamo se ponovo. 
"Sve je bilo u najboljem redu. Čisto, uredno i novo.",,10,"Sve je bilo u najboljem redu. Čisto, uredno i novo. "
Savrsena lokacija i objekat,,10,Savrsena lokacija i objekat 
Lokacija savrsena. Idealan izbor za boravak u Beogradu.,Smjestaj je ispunio sve sto smo ocekivali.,10,Lokacija savrsena. Idealan izbor za boravak u Beogradu. Smjestaj je ispunio sve sto smo ocekivali.
"Apartman je nov, opremljen svim potrebnim za boravak, cak i na duzi period. Blizu setalista i TC","Zgrada u kojoj je apartman je tek pustena u upotrebu, nisu zavrseni svi radovi, te je bilo dosta prasine koja se unosila i u apartman.",9,"Apartman je nov, opremljen svim potrebnim za boravak, cak i na duzi period. Blizu setalista i TC Zgrada u kojoj je apartman je tek pustena u upotrebu, nisu zavrseni svi radovi, te je bilo dosta prasine koja se unosila i u apartman."
"Izuzetno ljubazni domacini sa detaljnim uputstvima za dolazak.odlicna lokacija,apartman cist,uredan sa svim potrebnim sadrzajima",,10,"Izuzetno ljubazni domacini sa detaljnim uputstvima za dolazak.odlicna lokacija,apartman cist,uredan sa svim potrebnim sadrzajima "
Sve sto je bilo potrebno smo imali.Veoma laka komunikacija sa vlasnikom.Djevojke na recepciji jako kulturne i ljubazne.,,10,Sve sto je bilo potrebno smo imali.Veoma laka komunikacija sa vlasnikom.Djevojke na recepciji jako kulturne i ljubazne. 
"Besprekorno cisto,udobno sa predivnim pogledom I odlicnom organizacijom svavako cu opet doci.",,10,"Besprekorno cisto,udobno sa predivnim pogledom I odlicnom organizacijom svavako cu opet doci. "
"Sve je perfektno.
Profesionalan odnos.
Odlična komunikacija.
Bez mana.",,10,"Sve je perfektno.
Profesionalan odnos.
Odlična komunikacija.
Bez mana. "
Apsolutno sve !,,10,Apsolutno sve ! 
Sve je bilo super,Nema losih utisaka,10,Sve je bilo super Nema losih utisaka
Sve je bilo super,Nemam primedbi,10,Sve je bilo super Nemam primedbi
Sve je bio super i veoma ljubazne devojke na recepciji!!👍🏻👍🏻,"Osecaos se smrad u kupatilu,morali smo da zatvaramo vrata,bilo je bas nerijatno!!😡😳🤢Zao mi sto moram ovo da napisem ali je tako!",9,"Sve je bio super i veoma ljubazne devojke na recepciji!!👍🏻👍🏻 Osecaos se smrad u kupatilu,morali smo da zatvaramo vrata,bilo je bas nerijatno!!😡😳🤢Zao mi sto moram ovo da napisem ali je tako!"
"Izvrsna lokacija, odlican apartman, garaza, osoblje za sve pohvale...
pravi ugodjaj...",Gradiliste u blizini,9,"Izvrsna lokacija, odlican apartman, garaza, osoblje za sve pohvale...
pravi ugodjaj... Gradiliste u blizini"
Zgrada,"Moglo je biti malo cistije, bilo je prasine ali ok je",9,"Zgrada Moglo je biti malo cistije, bilo je prasine ali ok je"
"Sve je savršeno, lokacija, udobnost, čistoća!",,10,"Sve je savršeno, lokacija, udobnost, čistoća! "
"Lokjacija odlicna, objekat nov, cist i uredan.
Garaza i pristup odlicni.",Sve je u najboljem redu.,10,"Lokjacija odlicna, objekat nov, cist i uredan.
Garaza i pristup odlicni. Sve je u najboljem redu."
"Sve za pohvalu i svaku preporuku, cena pristupačna i realna 👏👏👏",,10,"Sve za pohvalu i svaku preporuku, cena pristupačna i realna 👏👏👏 "
"Odlicna lokacija. Sve je onako kako stoji u opisu ( pogled, terasa, opremljenost apartmana). Vlasnica je ljubazna.  Zaista za svaku preporuku. I naredni put cu iznajmiti ovaj apartman.",,10,"Odlicna lokacija. Sve je onako kako stoji u opisu ( pogled, terasa, opremljenost apartmana). Vlasnica je ljubazna.  Zaista za svaku preporuku. I naredni put cu iznajmiti ovaj apartman. "
Sve preporuke za apartman,,10,Sve preporuke za apartman 
Odlična lokacija sa koje se brzo i lako stiže da svih znamenitosti Beograda.,Sve je bilo odlično.,10,Odlična lokacija sa koje se brzo i lako stiže da svih znamenitosti Beograda. Sve je bilo odlično.
Ljubaznost i korektnost.,Sve je bilo kako treba.,10,Ljubaznost i korektnost. Sve je bilo kako treba.
Apartman je savršen. Pogled na reku Savu je besprekoran. Sve zajedno ostavlja utisak za čistu desetku. Preporuka za svakog putnika!,,10,Apartman je savršen. Pogled na reku Savu je besprekoran. Sve zajedno ostavlja utisak za čistu desetku. Preporuka za svakog putnika! 
Odlična lokacija u blizini Save. Veoma ljubazno osoblje. Stan je moderno opremljen i čist.,Smetalo mi je jedino što u sobi za dvoje nije bilo dve fotelje nego samo jedna.,9,Odlična lokacija u blizini Save. Veoma ljubazno osoblje. Stan je moderno opremljen i čist. Smetalo mi je jedino što u sobi za dvoje nije bilo dve fotelje nego samo jedna.
,"Savršena lokacija, apartman super udoban, vlasnik ljubazan i dostupan u svako vreme. Sigurno cemo doci i sledeci put",10," Savršena lokacija, apartman super udoban, vlasnik ljubazan i dostupan u svako vreme. Sigurno cemo doci i sledeci put"
"Apartmani pruzaju sve sto gostima koji zele da svoj boravak u Beogradu provedu na jednom ""visem nivou"". Prije svega opremljeni su najmodernijom opremom. Svi sadrzaji poput kafica, restorana, trznog centra su oko vas. Povezanost garaze tj. vaseg parking mjesta sa apartmanom je fenomenalna.
I ono najbitnije domacin je susretljiv i profesionalan. U svakom trenutku je dostupan ako vam zatreba bilo sta. 
Why Apartments Royal Belgrade Waterfront?????
Because.......SIMPLE THE BEST!!!!!!",,10,"Apartmani pruzaju sve sto gostima koji zele da svoj boravak u Beogradu provedu na jednom ""visem nivou"". Prije svega opremljeni su najmodernijom opremom. Svi sadrzaji poput kafica, restorana, trznog centra su oko vas. Povezanost garaze tj. vaseg parking mjesta sa apartmanom je fenomenalna.
I ono najbitnije domacin je susretljiv i profesionalan. U svakom trenutku je dostupan ako vam zatreba bilo sta. 
Why Apartments Royal Belgrade Waterfront?????
Because.......SIMPLE THE BEST!!!!!! "
"Lokacija, higijena, domaćin... odličan smeštaj.",,10,"Lokacija, higijena, domaćin... odličan smeštaj. "
"Krevet odličan, usluga odlična",Apartman je premali,8,"Krevet odličan, usluga odlična Apartman je premali"
"Lokacija je jako dobra i pristupacna, domacini su jako dobro organizovani.","Kupatilo moze da bude cistije,  i dalje su radovi u zgradi pa je malo nezgodno za liftove ,,,,",7,"Lokacija je jako dobra i pristupacna, domacini su jako dobro organizovani. Kupatilo moze da bude cistije,  i dalje su radovi u zgradi pa je malo nezgodno za liftove ,,,,"
Sacekala me voda u frizideru obicna i kisela😊,Mali apartman i buka jer je ulica i semafor odma ispod prozora😏,6,Sacekala me voda u frizideru obicna i kisela😊 Mali apartman i buka jer je ulica i semafor odma ispod prozora😏
"Ljubaznost, čistoća, lokacija, internet",,10,"Ljubaznost, čistoća, lokacija, internet "
,Zbog režima saobraćaja u ulicama oko hotela bilo je malo nezgodno naći zadnji ulaz (garažu) hotela. Bilo bi dobro da osoblje na recepciji prilikom rezervacije (ukoliko se ista vrši telefonski) napomene/objasni gostima kako doći do garaže.,9, Zbog režima saobraćaja u ulicama oko hotela bilo je malo nezgodno naći zadnji ulaz (garažu) hotela. Bilo bi dobro da osoblje na recepciji prilikom rezervacije (ukoliko se ista vrši telefonski) napomene/objasni gostima kako doći do garaže.
"Odlična lokacija, besplatan parking u garaži, odličan WiFi, ukusan doručak, prilično komforne i čiste sobe. Veoma prijatno i ljubazno osoblje.",-,9,"Odlična lokacija, besplatan parking u garaži, odličan WiFi, ukusan doručak, prilično komforne i čiste sobe. Veoma prijatno i ljubazno osoblje. -"
"Lokacija,usluga,doručak",Malo dostupnog parking mesta ali je javna garaža jako blizu,10,"Lokacija,usluga,doručak Malo dostupnog parking mesta ali je javna garaža jako blizu"
Top. I lokacija.,,8,Top. I lokacija. 
"Hotel se nalazi na odlicnoj lokaciji. Sobe su lepe, ciste, osoblje je jako ljubazno.
Hotel poseduje garazu sto je jako bitno za sve nas koji dolazimo autom.
Zaista hotel za preporuku... ❤️",,10,"Hotel se nalazi na odlicnoj lokaciji. Sobe su lepe, ciste, osoblje je jako ljubazno.
Hotel poseduje garazu sto je jako bitno za sve nas koji dolazimo autom.
Zaista hotel za preporuku... ❤️ "
"Odlicna lokacija, osoblje je ljubazno, hotel je besprekorno cist...Svaka preporuka!",,10,"Odlicna lokacija, osoblje je ljubazno, hotel je besprekorno cist...Svaka preporuka! "
"Nama je ovo drugi put da smo boravili ovde, ali ne i poslednji jer sve je super.
Od Lokacije, osoblja , čistoća.",Nista,10,"Nama je ovo drugi put da smo boravili ovde, ali ne i poslednji jer sve je super.
Od Lokacije, osoblja , čistoća. Nista"
"lokacija, ljubazno osoblje, čistoća...",,10,"lokacija, ljubazno osoblje, čistoća... "
"Lokacija, izuzetno ljubazno osoblje (recepcioner i sobarica)",Aparat za kafu,9,"Lokacija, izuzetno ljubazno osoblje (recepcioner i sobarica) Aparat za kafu"
"Lokacija je odlicna. Lepo je, cisto i uredno.","Buka u hotelu, pogotovo nocu. Gosti pored nas su bili apsolutno preglasni (vika, lupanje vratima, trcanje kroz hodnik). Znam da to nema mnogo veze sa hotelom, ali bilo bi dobro da se to ne desava.",9,"Lokacija je odlicna. Lepo je, cisto i uredno. Buka u hotelu, pogotovo nocu. Gosti pored nas su bili apsolutno preglasni (vika, lupanje vratima, trcanje kroz hodnik). Znam da to nema mnogo veze sa hotelom, ali bilo bi dobro da se to ne desava."
"Mogu odgovorno ostaviti svoju preporuku, sve je do tancina perfekntno, lokacija, sam apartman, higijena na vrhunskom nivou, usluga, sve za Veliku desetku..",,10,"Mogu odgovorno ostaviti svoju preporuku, sve je do tancina perfekntno, lokacija, sam apartman, higijena na vrhunskom nivou, usluga, sve za Veliku desetku.. "
"Top lokacija, novi apartmani, uredni, moderno opremljeni.",,10,"Top lokacija, novi apartmani, uredni, moderno opremljeni. "
"Top lokacija, uredno, čisto. Uvijek se rado vraćam u ovaj apartman..",,10,"Top lokacija, uredno, čisto. Uvijek se rado vraćam u ovaj apartman.. "
"Sjajna lokacija, sam centar grada.",,9,"Sjajna lokacija, sam centar grada. "
sve je bilo super,cena je malo vise veca nego sto bi trebalo,10,sve je bilo super cena je malo vise veca nego sto bi trebalo
,jedino krevet sto je bio sastavljen od dva manja pa je bila rupa na sredini ostalo sve super,8, jedino krevet sto je bio sastavljen od dva manja pa je bila rupa na sredini ostalo sve super
Recepcioner Filip je extra!Preporuke za smjestaj,parking..,10,Recepcioner Filip je extra!Preporuke za smjestaj parking..
"Top lokacija, ljubazno osoblje. Sve preporuke za apartmane.",,10,"Top lokacija, ljubazno osoblje. Sve preporuke za apartmane. "
"super je smjestaj,sve je cisto i uredno i lokacija je fenomenalna.","moja zamjerka je parking,parkiraliste je stvarno blizu ali je velika guzva i cesto nema mjesta.Ne bi bilo lose kad bi gosti mogli da rezervisu na tom parkiralistu parking mjesto sa dnevnom kartom.Sobe do ulice su malo bucnije a ove suprotno su odlicne.",9,"super je smjestaj,sve je cisto i uredno i lokacija je fenomenalna. moja zamjerka je parking,parkiraliste je stvarno blizu ali je velika guzva i cesto nema mjesta.Ne bi bilo lose kad bi gosti mogli da rezervisu na tom parkiralistu parking mjesto sa dnevnom kartom.Sobe do ulice su malo bucnije a ove suprotno su odlicne."
